claim_id	lane	file	line	kind	token	in_fence	verbatim	proposed_check	verdict	evidence	severity	settled_by	quotable	blind_verdict	blind_evidence	disposition	mech_verdict	mech_evidence	fix_status	ext_verdict	ext_evidence	tiebreak
C0011-ef298433	P0	.ai-docs/TEE_Attestation_Architecture.md	105	repo_path	proxy-router/internal/attestation/sev_*.go	0	| **SecretVM SEV verifier** | [github.com/scrtlabs/secretvm-verify](https://github.com/scrtlabs/secretvm-verify) | TypeScript reference verifier; the Go port lives at `proxy-router/internal/attestatio		TRUE	Glob resolves to real files: attestation/sev_gctx.go (CalcSevMeasurement), sev_workload.go (VerifySevWorkload), sev_registry.go — the Go port of secretvm-verify's SEV path.	-	L7-tee	yes									
C0012-63f35ebb	P0	.ai-docs/TEE_Attestation_Architecture.md	108	external_url	https://github.com/scrtlabs/secret-vm-build/releases	0	| **SecretVM build artifacts** | [github.com/scrtlabs/secret-vm-build/releases](https://github.com/scrtlabs/secret-vm-build/releases) | Firmware (ovmf.fd), kernel (bzImage), initramfs, rootfs — needed		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0013-b3986610	P0	.ai-docs/TEE_Attestation_Architecture.md	111	external_url	https://docs.scrt.network/secret-network-documentation/secretvm-confidential-virtual-machines/secretvm-cli	0	| **SecretVM CLI** | `npm install --global secretvm-cli` / [CLI docs](https://docs.scrt.network/secret-network-documentation/secretvm-confidential-virtual-machines/secretvm-cli) | CLI tool for provisi		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0014-6613e855	P0	.ai-docs/TEE_Attestation_Architecture.md	116	external_url	https://github.com/MorpheusAIs/Morpheus-Lumerin-Node/pull/652	0	Two ways to deploy a TEE VM on SecretVM (contributed by SCRT Labs via [PR #652](https://github.com/MorpheusAIs/Morpheus-Lumerin-Node/pull/652)):		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0015-0c5335fe	P0	.ai-docs/TEE_Attestation_Architecture.md	267	external_url	https://github.com/MorpheusAIs/Morpheus-Lumerin-Node/actions/runs/22920492249	0	First successful run: [#22920492249](https://github.com/MorpheusAIs/Morpheus-Lumerin-Node/actions/runs/22920492249)		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0016-869f5855	P0	.ai-docs/TEE_Attestation_Architecture.md	295	repo_path	.ai-docs/TEE_CICD_Supply_Chain_Hardening.md	0	| Supply-chain hardening deep-dive doc | `.ai-docs/TEE_CICD_Supply_Chain_Hardening.md` in Morpheus-Lumerin-Node |		TRUE	.ai-docs/TEE_CICD_Supply_Chain_Hardening.md exists	-	script	yes									
C0017-faccc6dc	P0	.ai-docs/TEE_Attestation_Architecture.md	296	repo_path	docs/02.3-proxy-router-tee.md	0	| Provider setup & consumer verification guide | `docs/02.3-proxy-router-tee.md` in Morpheus-Lumerin-Node |		STALE	docs/02.3-proxy-router-tee.md does not exist; docs/ is now Mintlify .mdx. Confirmed-dead cross-reference per task scope note.	S3	L7-tee	yes									
C0018-002cd9ea	P0	.ai-docs/TEE_Attestation_Architecture.md	316	address	addr#acb3e366	1	"DIAMOND_CONTRACT_ADDRESS": "0x<redacted>",		TRUE	matches an address in .env.example / smart-contracts/deploy/data (value withheld)	-	script	yes									
C0019-73124f6d	P0	.ai-docs/TEE_Attestation_Architecture.md	317	address	addr#56f99c5e	1	"MOR_TOKEN_ADDRESS": "0x<redacted>",		TRUE	matches an address in .env.example / smart-contracts/deploy/data (value withheld)	-	script	yes									
C0020-ac60d949	P0	.ai-docs/TEE_Attestation_Architecture.md	352	repo_path	cicd/scrt-generate-rtmr3	0	**Implementation (branch `cicd/scrt-generate-rtmr3`):**		UNVERIFIABLE-IN-REPO	looks like an external owner/repo reference	-	script	yes									
C0021-9479b2db	P0	.ai-docs/TEE_Attestation_Architecture.md	354	repo_path	proxy-router/scripts/compute-rtmr3.py	0	1. **Standalone computation script:** `proxy-router/scripts/compute-rtmr3.py`		TRUE	proxy-router/scripts/compute-rtmr3.py exists	-	script	yes									
C0022-71780a94	P0	.ai-docs/TEE_Attestation_Architecture.md	355	external_url	https://github.com/scrtlabs/reproduce-mr	0	- Matches the `replayRTMR` algorithm from [scrtlabs/reproduce-mr](https://github.com/scrtlabs/reproduce-mr) (internal/mr.go lines 642-657)		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0023-2b16e258	P0	.ai-docs/TEE_Attestation_Architecture.md	360	repo_path	.github/tee/secretvm.env	0	2. **SecretVM artifact config:** `.github/tee/secretvm.env`		TRUE	.github/tee/secretvm.env exists	-	script	yes									
C0024-7adbb028	P0	.ai-docs/TEE_Attestation_Architecture.md	363	env	SECRETVM_SEV_REGISTRY_URL	0	- Pins the SEV artifact registry URL (`SECRETVM_SEV_REGISTRY_URL`) and the registry vm_type (`SECRETVM_SEV_REGISTRY_VM_TYPE=prod`) — used by `compute-sev-measurement.py` to find the right entry		TRUE	.github/tee/secretvm.env:29-30 defines SECRETVM_SEV_REGISTRY_URL and SECRETVM_SEV_REGISTRY_VM_TYPE=prod exactly as described; build.yml passes vm_type to compute-sev-measurement.py --vm-type.	-	L7-tee	yes									
C0025-f94c1cd2	P0	.ai-docs/TEE_Attestation_Architecture.md	364	env_negated	SECRETVM_ROOTFS_VARIANT	0	- All pipeline references to rootfs filenames are derived from `SECRETVM_ROOTFS_VARIANT` (no hardcoded filenames in `build.yml`); the platform suffix (`-tdx` / `-sev`) is appended at use site		TRUE	doc asserts this name does NOT exist, and it does not exist in the repo	-	script	yes									
C0026-55d69f8f	P0	.ai-docs/TEE_Attestation_Architecture.md	443	repo_path	proxy-router/Dockerfile.tee	0	The `baked_env.LOG_LEVEL_*` fields are extracted from `proxy-router/Dockerfile.tee` at manifest-generation time. The pipeline hard-fails the build if any of `LOG_LEVEL_APP`/`LOG_LEVEL_TCP`/`LOG_LEVEL_		TRUE	proxy-router/Dockerfile.tee exists	-	script	yes									
C0027-95796ce9	P0	.ai-docs/TEE_Attestation_Architecture.md	443	env_negated	LOG_LEVEL_APP	0	The `baked_env.LOG_LEVEL_*` fields are extracted from `proxy-router/Dockerfile.tee` at manifest-generation time. The pipeline hard-fails the build if any of `LOG_LEVEL_APP`/`LOG_LEVEL_TCP`/`LOG_LEVEL_		TRUE	.github/workflows/build.yml:797-823 hard-fails (exit 1) if LOG_LEVEL_APP is missing from Dockerfile.tee, matching the claim; config.go:55 also defines the runtime env tag.	-	L7-tee	yes									
C0028-7c12e5d1	P0	.ai-docs/TEE_Attestation_Architecture.md	443	env_negated	LOG_LEVEL_TCP	0	The `baked_env.LOG_LEVEL_*` fields are extracted from `proxy-router/Dockerfile.tee` at manifest-generation time. The pipeline hard-fails the build if any of `LOG_LEVEL_APP`/`LOG_LEVEL_TCP`/`LOG_LEVEL_		TRUE	build.yml:797-823 hard-fails if LOG_LEVEL_TCP is missing from Dockerfile.tee (loop over the 4 vars at line 814).	-	L7-tee	yes									
C0029-ac6b1a32	P0	.ai-docs/TEE_Attestation_Architecture.md	443	env_negated	LOG_LEVEL_ETH_RPC	0	The `baked_env.LOG_LEVEL_*` fields are extracted from `proxy-router/Dockerfile.tee` at manifest-generation time. The pipeline hard-fails the build if any of `LOG_LEVEL_APP`/`LOG_LEVEL_TCP`/`LOG_LEVEL_		TRUE	build.yml:797-823 hard-fails if LOG_LEVEL_ETH_RPC is missing from Dockerfile.tee (loop over the 4 vars at line 814).	-	L7-tee	yes									
C0030-f8b7974e	P0	.ai-docs/TEE_Attestation_Architecture.md	443	env_negated	LOG_LEVEL_STORAGE	0	The `baked_env.LOG_LEVEL_*` fields are extracted from `proxy-router/Dockerfile.tee` at manifest-generation time. The pipeline hard-fails the build if any of `LOG_LEVEL_APP`/`LOG_LEVEL_TCP`/`LOG_LEVEL_		TRUE	build.yml:797-823 hard-fails if LOG_LEVEL_STORAGE is missing from Dockerfile.tee (loop over the 4 vars at line 814).	-	L7-tee	yes									
C0031-5e6ecd94	P0	.ai-docs/TEE_Attestation_Architecture.md	472	repo_path	proxy-router/scripts/compute-sev-measurement.py	0	1. **Standalone Python script:** `proxy-router/scripts/compute-sev-measurement.py`		TRUE	proxy-router/scripts/compute-sev-measurement.py exists	-	script	yes									
C0032-1c320fbe	P0	.ai-docs/TEE_Attestation_Architecture.md	473	repo_path	proxy-router/internal/attestation/sev_gctx.go::CalcSevMeasurement	0	- Byte-for-byte port of `proxy-router/internal/attestation/sev_gctx.go::CalcSevMeasurement` (the runtime source-of-truth introduced in PR #718).		TRUE	proxy-router/internal/attestation/sev_gctx.go exists	-	script	yes									
C0033-2e540f2b	P0	.ai-docs/TEE_Attestation_Architecture.md	477	repo_path	internal/attestation/sev_python_parity_test.go	0	- Parity-tested against the Go runtime via `internal/attestation/sev_python_parity_test.go` (uses `t.TempDir()` + a frozen fixture snapshotted from the v0.0.31 prod registry entry; the test runs the P		TRUE	resolves to proxy-router/internal/attestation/sev_python_parity_test.go	-	script	yes									
C0034-c96b1ab8	P0	.ai-docs/TEE_Attestation_Architecture.md	481	repo_path	scrtlabs/secretvm-verify	0	- `Fetch SecretVM SEV artifact registry` step pulls `sev.json` from `scrtlabs/secretvm-verify` and records its SHA-256 in the manifest.		UNVERIFIABLE-IN-REPO	looks like an external owner/repo reference	-	script	yes									
C0035-85541dc0	P0	.ai-docs/TEE_Attestation_Architecture.md	491	repo_path	.github/tee/secretvm.env	0	**Implementation:** `.github/tee/secretvm.env` pins the release version, rootfs variant, and BOTH the TDX and SEV rootfs URLs + SHA-256s. The pipeline derives all artifact filenames, cache keys, and d		TRUE	.github/tee/secretvm.env exists	-	script	yes									
C0036-110723fb	P0	.ai-docs/TEE_Attestation_Architecture.md	491	env	SECRETVM_RELEASE	0	**Implementation:** `.github/tee/secretvm.env` pins the release version, rootfs variant, and BOTH the TDX and SEV rootfs URLs + SHA-256s. The pipeline derives all artifact filenames, cache keys, and d		TRUE	.github/tee/secretvm.env:22 SECRETVM_RELEASE=v0.0.31, correctly framed as a CI pin file, not proxy-router runtime config.	-	L7-tee	yes									
C0037-2494bae9	P0	.ai-docs/TEE_Attestation_Architecture.md	491	env	SECRETVM_ROOTFS_VARIANT	0	**Implementation:** `.github/tee/secretvm.env` pins the release version, rootfs variant, and BOTH the TDX and SEV rootfs URLs + SHA-256s. The pipeline derives all artifact filenames, cache keys, and d		TRUE	.github/tee/secretvm.env:23 SECRETVM_ROOTFS_VARIANT=rootfs-prod, correctly framed as CI pin.	-	L7-tee	yes									
C0038-27c9aee6	P0	.ai-docs/TEE_Attestation_Architecture.md	497	env	SECRETVM_RELEASE	0	1. Update `SECRETVM_RELEASE` in `.github/tee/secretvm.env`.		TRUE	.github/tee/secretvm.env:22 SECRETVM_RELEASE is exactly the var to edit for a release bump, as instructed.	-	L7-tee	yes									
C0039-af2d51d7	P0	.ai-docs/TEE_Attestation_Architecture.md	497	repo_path	.github/tee/secretvm.env	0	1. Update `SECRETVM_RELEASE` in `.github/tee/secretvm.env`.		TRUE	.github/tee/secretvm.env exists	-	script	yes									
C0040-b76b97b2	P0	.ai-docs/TEE_Attestation_Architecture.md	498	env	SECRETVM_ROOTFS_TDX_URL	0	2. Update both `SECRETVM_ROOTFS_TDX_URL` and `SECRETVM_ROOTFS_SEV_URL`. Clear the corresponding `*_SHA256` lines.		TRUE	.github/tee/secretvm.env:35 SECRETVM_ROOTFS_TDX_URL present alongside SECRETVM_ROOTFS_TDX_SHA256:36, matching the upgrade instruction.	-	L7-tee	yes									
C0041-00ade08c	P0	.ai-docs/TEE_Attestation_Architecture.md	498	env	SECRETVM_ROOTFS_SEV_URL	0	2. Update both `SECRETVM_ROOTFS_TDX_URL` and `SECRETVM_ROOTFS_SEV_URL`. Clear the corresponding `*_SHA256` lines.		TRUE	.github/tee/secretvm.env:40 SECRETVM_ROOTFS_SEV_URL present alongside SECRETVM_ROOTFS_SEV_SHA256:41, matching the upgrade instruction.	-	L7-tee	yes									
C0042-39b1c000	P0	.ai-docs/TEE_Attestation_Architecture.md	501	repo_path	scrtlabs/secretvm-verify/artifacts_registry/sev.json	0	5. Confirm the SEV registry (`scrtlabs/secretvm-verify/artifacts_registry/sev.json`) has been updated with the new release's `(vm_type, artifacts_ver)` entry — without it the SEV measurement compute w		UNVERIFIABLE-IN-REPO	path inside an external package	-	script	yes									
C0043-7809afcd	P0	.ai-docs/TEE_Attestation_Architecture.md	503	repo_path	/releases/latest	0	**Version detection:** There is no SCRT Labs push notification or dedicated API for new releases. The authoritative signal is the **SecretVM portal's Production "Artifacts version"** — pin whatever it		UNVERIFIABLE-IN-REPO	looks like an external owner/repo reference	-	script	yes									
C0044-4931e69e	P0	.ai-docs/TEE_Attestation_Architecture.md	511	chain_id	84532	0	**Network-aware builds:** The TEE image built for the `test` branch uses **testnet** values (Base Sepolia — chain ID 84532, testnet contracts) sourced from `.github/workflows/test.env`. The `main` bra		TRUE	ui-desktop/.env.example:17 declares this chain id	-	script	yes									
C0045-cd688b47	P0	.ai-docs/TEE_Attestation_Architecture.md	511	chain_id	8453	0	**Network-aware builds:** The TEE image built for the `test` branch uses **testnet** values (Base Sepolia — chain ID 84532, testnet contracts) sourced from `.github/workflows/test.env`. The `main` bra		TRUE	ui-desktop/.env.example:5 declares this chain id	-	script	yes									
C0046-45bfca95	P0	.ai-docs/TEE_Attestation_Architecture.md	511	repo_path	.github/workflows/test.env	0	**Network-aware builds:** The TEE image built for the `test` branch uses **testnet** values (Base Sepolia — chain ID 84532, testnet contracts) sourced from `.github/workflows/test.env`. The `main` bra		TRUE	.github/workflows/test.env exists	-	script	yes									
C0047-fa0004b0	P0	.ai-docs/TEE_Attestation_Architecture.md	511	repo_path	.github/workflows/main.env	0	**Network-aware builds:** The TEE image built for the `test` branch uses **testnet** values (Base Sepolia — chain ID 84532, testnet contracts) sourced from `.github/workflows/test.env`. The `main` bra		TRUE	.github/workflows/main.env exists	-	script	yes									
C0048-48ec180b	P0	.ai-docs/TEE_Attestation_Architecture.md	519	env	SECRETVM_API_KEY	0	| `SECRETVM_API_KEY` | SCRT Labs API key (from portal account settings) |		TRUE	build.yml:1035 SECRETVM_API_KEY: ${{ secrets.SECRETVM_API_KEY }} in the 'Deploy to SecretVM test instance' step; correctly framed as a GH Actions secret.	-	L7-tee	yes									
C0049-47b4c434	P0	.ai-docs/TEE_Attestation_Architecture.md	520	env	SECRETVM_TEST_VM_UUID	0	| `SECRETVM_TEST_VM_UUID` | UUID of the test VM to update |		TRUE	build.yml:1036 SECRETVM_TEST_VM_UUID: ${{ secrets.SECRETVM_TEST_VM_UUID }}, correctly framed as a GH Actions secret for the test deploy.	-	L7-tee	yes									
C0050-9d930a8c	P0	.ai-docs/TEE_Attestation_Architecture.md	521	env	SECRETVM_TEST_ENV	0	| `SECRETVM_TEST_ENV` | The 5 runtime secrets as a `.env` file, base64-encoded |		TRUE	build.yml:1037 SECRETVM_TEST_ENV_B64: ${{ secrets.SECRETVM_TEST_ENV }}, correctly framed as a GH Actions secret for the test deploy.	-	L7-tee	yes									
C0051-0e4ce062	P0	.ai-docs/TEE_Attestation_Architecture.md	527	shell_var	WALLET_PRIVATE_KEY	1	WALLET_PRIVATE_KEY=0x...		TRUE	proxy-router/internal/config/config.go:48 (also a config env var)	-	script	yes									
C0052-698d981b	P0	.ai-docs/TEE_Attestation_Architecture.md	528	shell_var	ETH_NODE_ADDRESS	1	ETH_NODE_ADDRESS=wss://base-mainnet.g.alchemy.com/v2/YOUR_KEY		TRUE	proxy-router/internal/config/config.go:29 (also a config env var)	-	script	yes									
C0053-789ed11e	P0	.ai-docs/TEE_Attestation_Architecture.md	529	shell_var	MODELS_CONFIG_CONTENT	1	MODELS_CONFIG_CONTENT={"models":[...]}		TRUE	proxy-router/internal/config/config.go:68 (also a config env var)	-	script	yes									
C0054-ba00a0f6	P0	.ai-docs/TEE_Attestation_Architecture.md	530	shell_var	WEB_PUBLIC_URL	1	WEB_PUBLIC_URL=https://your-domain:8082		TRUE	proxy-router/internal/config/config.go:107 (also a config env var)	-	script	yes									
C0055-d15f8816	P0	.ai-docs/TEE_Attestation_Architecture.md	531	shell_var	COOKIE_CONTENT	1	COOKIE_CONTENT=admin:yourpassword		TRUE	proxy-router/internal/config/config.go:72 (also a config env var)	-	script	yes									
C0056-65746bb2	P0	.ai-docs/TEE_Attestation_Architecture.md	567	env	SECRETVM_API_KEY	0	| `SECRETVM_API_KEY` | SCRT Labs API key (same account as test is fine) |		TRUE	build.yml:1155 area reuses SECRETVM_API_KEY secret for the prod deploy step, matching the doc's 'same account is fine' framing.	-	L7-tee	yes									
C0057-6553f730	P0	.ai-docs/TEE_Attestation_Architecture.md	568	env	SECRETVM_PROD_VM_UUID	0	| `SECRETVM_PROD_VM_UUID` | UUID of the production SecretVM |		TRUE	build.yml:1155 SECRETVM_PROD_VM_UUID: ${{ secrets.SECRETVM_PROD_VM_UUID }} in the 'Deploy to SecretVM prod instance' step.	-	L7-tee	yes									
C0058-8994e88f	P0	.ai-docs/TEE_Attestation_Architecture.md	569	env	SECRETVM_PROD_ENV	0	| `SECRETVM_PROD_ENV` | The 5 runtime secrets as a `.env` file, base64-encoded |		TRUE	build.yml:1156 SECRETVM_PROD_ENV_B64: ${{ secrets.SECRETVM_PROD_ENV }} in the prod deploy step.	-	L7-tee	yes									
C0059-1538980a	P0	.ai-docs/TEE_Attestation_Architecture.md	581	external_url	https://github.com/aquasecurity/trivy	0	**Approach:** Add [Trivy](https://github.com/aquasecurity/trivy) or [Grype](https://github.com/anchore/grype) to the TEE job as a non-blocking advisory step initially.		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0060-61000c4a	P0	.ai-docs/TEE_Attestation_Architecture.md	581	external_url	https://github.com/anchore/grype	0	**Approach:** Add [Trivy](https://github.com/aquasecurity/trivy) or [Grype](https://github.com/anchore/grype) to the TEE job as a non-blocking advisory step initially.		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0061-7d8fd2d4	P0	.ai-docs/TEE_Attestation_Architecture.md	591	api_path	/healthcheck	0	### ~~7.1 Extend `/healthcheck` with TEE metadata~~ — DROPPED		TRUE	proxy-router/docs/swagger.yaml:2471	-	script	yes									
C0062-27bd50b4	P0	.ai-docs/TEE_Attestation_Architecture.md	593	api_path	/healthcheck	0	**Reason:** Not required. The consumer discovers TEE capability from the on-chain `"tee"` model tag (see §7.3). The image digest is available in the cosign-signed attestation manifest on GHCR, and the		TRUE	proxy-router/docs/swagger.yaml:2471	-	script	yes									
C0063-06854345	P0	.ai-docs/TEE_Attestation_Architecture.md	595	repo_path	/attestation/quote	0	### ~~7.2 Add `/attestation/quote` proxy endpoint~~ — DROPPED		UNVERIFIABLE-IN-REPO	looks like an external owner/repo reference	-	script	yes									
C0064-98579a24	P0	.ai-docs/TEE_Attestation_Architecture.md	603	api_path	/healthcheck	0	**Port security note:** This design has a beneficial side-effect for providers. The management API on port 8082 (which includes `/healthcheck`, wallet config, session management) can be firewalled off		TRUE	proxy-router/docs/swagger.yaml:2471	-	script	yes									
C0065-6a3d0350	P0	.ai-docs/TEE_Attestation_Architecture.md	612	repo_path	proxy-router/internal/blockchainapi/model_tags.go	0	**File:** `proxy-router/internal/blockchainapi/model_tags.go`		TRUE	proxy-router/internal/blockchainapi/model_tags.go exists	-	script	yes									
C0066-164c1ea5	P0	.ai-docs/TEE_Attestation_Architecture.md	635	repo_path	proxy-router/internal/attestation/verifier.go	0	- `proxy-router/internal/attestation/verifier.go` — core `Verifier`, `VerifyProvider` (full), `VerifyProviderQuick` (fast path)		TRUE	proxy-router/internal/attestation/verifier.go exists	-	script	yes									
C0067-2d667be9	P0	.ai-docs/TEE_Attestation_Architecture.md	636	repo_path	proxy-router/internal/blockchainapi/service.go	0	- `proxy-router/internal/blockchainapi/service.go` — calls `VerifyProvider` from `tryOpenSession` when `IsTeeSession` is true		TRUE	proxy-router/internal/blockchainapi/service.go exists	-	script	yes									
C0068-48ad3fd1	P0	.ai-docs/TEE_Attestation_Architecture.md	637	repo_path	proxy-router/internal/proxyapi/proxy_sender.go	0	- `proxy-router/internal/proxyapi/proxy_sender.go` — calls `verifyTEEAttestation` (→ `VerifyProviderQuick`) before every `SendPrompt`, `SendTranscription`, `SendSpeech`, and session-init handshake		TRUE	proxy-router/internal/proxyapi/proxy_sender.go exists	-	script	yes									
C0069-8a59fb7c	P0	.ai-docs/TEE_Attestation_Architecture.md	672	repo_path	github.com/sigstore/cosign/v2/pkg/cosign	0	- `github.com/sigstore/cosign/v2/pkg/cosign` — in-process Go verification, no shell-out, no binary added to image. Binary size impact acceptable for the `-tee` image (consumer proxy-router uses the sa		UNVERIFIABLE-IN-REPO	looks like an external Go import path	-	script	yes									
C0070-643c5376	P0	.ai-docs/TEE_Attestation_Architecture.md	673	go_version	1.25	0	- Go 1.25.x (per CI/CD)		TRUE	proxy-router/go.mod (go 1.25.0)	-	script	yes									
C0071-773212ac	P0	.ai-docs/TEE_Attestation_Architecture.md	679	repo_path	ui-desktop/src/renderer/src/components/	0	**File:** `ui-desktop/src/renderer/src/components/` (model list, session views)		TRUE	ui-desktop/src/renderer/src/components exists	-	script	yes									
C0072-58b38006	P0	.ai-docs/TEE_Attestation_Architecture.md	707	repo_path	proxy-router/internal/attestation/	0	**Files (all under `proxy-router/internal/attestation/`):**		TRUE	proxy-router/internal/attestation exists	-	script	yes									
C0073-d6050406	P0	.ai-docs/TEE_Attestation_Architecture.md	710	env	ARTIFACT_REGISTRY_URL	0	- `artifacts_registry.go` — downloads and caches the SecretVM TDX artifact registry CSV on a configurable interval (`ARTIFACT_REGISTRY_URL`, `ARTIFACT_REGISTRY_REFRESH_INTERVAL`)		TRUE	proxy-router/internal/config/config.go:101	-	script	yes									
C0074-fdffa0ce	P0	.ai-docs/TEE_Attestation_Architecture.md	710	env	ARTIFACT_REGISTRY_REFRESH_INTERVAL	0	- `artifacts_registry.go` — downloads and caches the SecretVM TDX artifact registry CSV on a configurable interval (`ARTIFACT_REGISTRY_URL`, `ARTIFACT_REGISTRY_REFRESH_INTERVAL`)		TRUE	proxy-router/internal/config/config.go:103	-	script	yes									
C0075-4fe3f165	P0	.ai-docs/TEE_Attestation_Architecture.md	716	repo_path	proxy-router/cmd/main.go	0	- `proxy-router/cmd/main.go` — wires `BackendVerifier` into startup; calls `AttestBackend` once per `tee`-tagged model		TRUE	proxy-router/cmd/main.go exists	-	script	yes									
C0076-b889c1ba	P0	.ai-docs/TEE_Attestation_Architecture.md	717	repo_path	proxy-router/internal/proxyapi/proxy_receiver.go	0	- `proxy-router/internal/proxyapi/proxy_receiver.go` — calls `FastVerifyBackend` in `SessionPrompt` before forwarding any inference for `tee`-tagged model sessions (hot path)		TRUE	proxy-router/internal/proxyapi/proxy_receiver.go exists	-	script	yes									
C0077-7c82fa4e	P0	.ai-docs/TEE_Attestation_Architecture.md	718	repo_path	proxy-router/internal/aiengine/ai_engine.go	0	- `proxy-router/internal/aiengine/ai_engine.go` — returns a `PinnedHTTPClient` for TEE models; the client's `VerifyPeerCertificate` callback refuses any onward TLS cert whose SHA-256 doesn't match the		FALSE	defined proxy-router/internal/attestation/backend_verifier.go:418; 0 non-test callers (3 test refs) — doc asserts it is in use	S2	script+mechanized+scout-confirmed	yes				FALSE	defined proxy-router/internal/attestation/backend_verifier.go:418; 0 non-test callers (3 test refs) — doc asserts it is in use	FIXED: corrected: ai_engine passes nil, gets a default client			
C0078-fac50ca7	P0	.ai-docs/TEE_Attestation_Architecture.md	719	repo_path	proxy-router/internal/proxyapi/controller_http.go	0	- `proxy-router/internal/proxyapi/controller_http.go` — `GET /v1/models/attestation` returns per-model attestation state (verified / pending / failed + workload-match / last-success timestamp / error		TRUE	proxy-router/internal/proxyapi/controller_http.go exists	-	script	yes									
